,Variable Name,description
680,DEP_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
681,DEP_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
682,DEP_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
683,DEP_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
684,DEP_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
685,DEP_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
686,DEP_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
687,DEP_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
688,IND_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
689,IND_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
690,IND_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
691,IND_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
692,IND_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
693,IND_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
694,IND_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
695,IND_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
696,IND_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
697,IND_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
698,IND_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
699,IND_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
700,IND_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
701,FEMALE_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
702,FEMALE_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
703,FEMALE_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
704,FEMALE_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
705,FEMALE_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
706,FEMALE_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
707,FEMALE_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
708,FEMALE_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
709,FEMALE_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
710,FEMALE_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
711,FEMALE_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
712,FEMALE_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
713,FEMALE_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
714,MALE_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
715,MALE_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
716,MALE_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
717,MALE_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
718,MALE_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
719,MALE_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
720,MALE_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
721,MALE_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
722,MALE_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
723,MALE_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
724,MALE_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
725,MALE_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
726,MALE_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
727,PELL_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
728,PELL_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
729,PELL_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
730,PELL_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
731,PELL_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
732,PELL_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
733,PELL_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
734,PELL_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
735,PELL_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
736,PELL_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
737,PELL_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
738,PELL_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
739,PELL_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
740,NOPELL_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
741,NOPELL_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
742,NOPELL_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
743,NOPELL_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
744,NOPELL_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
745,NOPELL_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
746,NOPELL_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
747,NOPELL_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
748,NOPELL_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
749,NOPELL_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
750,NOPELL_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
751,NOPELL_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
752,NOPELL_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
753,LOAN_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
754,LOAN_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
755,LOAN_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
756,LOAN_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
757,LOAN_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
758,LOAN_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
759,LOAN_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
760,LOAN_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
761,LOAN_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
762,LOAN_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
763,LOAN_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
764,LOAN_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
765,LOAN_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
766,NOLOAN_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
767,NOLOAN_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
768,NOLOAN_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
769,NOLOAN_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
770,NOLOAN_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
771,NOLOAN_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
772,NOLOAN_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
773,NOLOAN_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
774,NOLOAN_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
775,NOLOAN_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
776,NOLOAN_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
777,NOLOAN_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
778,NOLOAN_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
779,FIRSTGEN_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
780,FIRSTGEN_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
781,FIRSTGEN_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
782,FIRSTGEN_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
783,FIRSTGEN_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
784,FIRSTGEN_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
785,FIRSTGEN_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
786,FIRSTGEN_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
787,FIRSTGEN_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
788,FIRSTGEN_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
789,FIRSTGEN_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
790,FIRSTGEN_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
791,FIRSTGEN_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
792,NOT1STGEN_DEATH_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
793,NOT1STGEN_COMP_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
794,NOT1STGEN_COMP_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
795,NOT1STGEN_COMP_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
796,NOT1STGEN_WDRAW_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
797,NOT1STGEN_WDRAW_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
798,NOT1STGEN_WDRAW_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
799,NOT1STGEN_ENRL_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
800,NOT1STGEN_ENRL_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
801,NOT1STGEN_ENRL_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
802,NOT1STGEN_UNKN_ORIG_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
803,NOT1STGEN_UNKN_4YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
804,NOT1STGEN_UNKN_2YR_TRANS_YR3_RT,NSLDS AY2015-16 cohort measured in AY2018-19
805,DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
806,COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
807,COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
808,COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
809,WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
810,WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
811,WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
812,ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
813,ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
814,ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
815,UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
816,UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
817,UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
818,LO_INC_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
819,LO_INC_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
820,LO_INC_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
821,LO_INC_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
822,LO_INC_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
823,LO_INC_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
824,LO_INC_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
825,LO_INC_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
826,LO_INC_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
827,LO_INC_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
828,LO_INC_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
829,LO_INC_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
830,LO_INC_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
831,MD_INC_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
832,MD_INC_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
833,MD_INC_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
834,MD_INC_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
835,MD_INC_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
836,MD_INC_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
837,MD_INC_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
838,MD_INC_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
839,MD_INC_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
840,MD_INC_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
841,MD_INC_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
842,MD_INC_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
843,MD_INC_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
844,HI_INC_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
845,HI_INC_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
846,HI_INC_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
847,HI_INC_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
848,HI_INC_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
849,HI_INC_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
850,HI_INC_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
851,HI_INC_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
852,HI_INC_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
853,HI_INC_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
854,HI_INC_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
855,HI_INC_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
856,HI_INC_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
857,DEP_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
858,DEP_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
859,DEP_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
860,DEP_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
861,DEP_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
862,DEP_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
863,DEP_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
864,DEP_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
865,DEP_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
866,DEP_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
867,DEP_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
868,DEP_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
869,DEP_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
870,IND_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
871,IND_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
872,IND_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
873,IND_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
874,IND_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
875,IND_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
876,IND_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
877,IND_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
878,IND_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
879,IND_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
880,IND_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
881,IND_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
882,IND_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
883,FEMALE_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
884,FEMALE_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
885,FEMALE_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
886,FEMALE_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
887,FEMALE_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
888,FEMALE_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
889,FEMALE_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
890,FEMALE_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
891,FEMALE_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
892,FEMALE_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
893,FEMALE_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
894,FEMALE_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
895,FEMALE_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
896,MALE_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
897,MALE_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
898,MALE_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
899,MALE_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
900,MALE_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
901,MALE_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
902,MALE_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
903,MALE_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
904,MALE_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
905,MALE_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
906,MALE_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
907,MALE_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
908,MALE_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
909,PELL_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
910,PELL_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
911,PELL_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
912,PELL_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
913,PELL_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
914,PELL_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
915,PELL_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
916,PELL_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
917,PELL_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
918,PELL_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
919,PELL_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
920,PELL_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
921,PELL_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
922,NOPELL_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
923,NOPELL_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
924,NOPELL_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
925,NOPELL_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
926,NOPELL_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
927,NOPELL_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
928,NOPELL_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
929,NOPELL_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
930,NOPELL_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
931,NOPELL_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
932,NOPELL_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
933,NOPELL_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
934,NOPELL_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
935,LOAN_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
936,LOAN_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
937,LOAN_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
938,LOAN_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
939,LOAN_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
940,LOAN_WDRAW_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
941,LOAN_WDRAW_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
942,LOAN_ENRL_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
943,LOAN_ENRL_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
944,LOAN_ENRL_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
945,LOAN_UNKN_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
946,LOAN_UNKN_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
947,LOAN_UNKN_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
948,NOLOAN_DEATH_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
949,NOLOAN_COMP_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
950,NOLOAN_COMP_4YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
951,NOLOAN_COMP_2YR_TRANS_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
952,NOLOAN_WDRAW_ORIG_YR4_RT,NSLDS AY2014-15 cohort measured in AY2018-19
